Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,0,2,0,0,2,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,0,9,0,0,9,0,0,0,0,0,0
3,78,66,49,29,17,48,12,12,0.25,1.0,0.4
4,34,50,32,2,18,12,1,0,0.0,0.0,0
5,63,78,42,21,36,41,1,1,0.024390243902439025,1.0,0.047619047619047616
6,29,49,25,4,24,24,2,2,0.08333333333333333,1.0,0.15384615384615385
7,55,84,46,9,38,78,4,3,0.038461538461538464,0.75,0.07317073170731708
8,54,96,50,4,46,96,4,4,0.041666666666666664,1.0,0.07999999999999999
9,51,101,47,4,54,107,8,7,0.06542056074766354,0.875,0.12173913043478259
10,46,105,40,6,65,76,7,7,0.09210526315789473,1.0,0.1686746987951807
11,95,158,85,10,73,188,11,10,0.05319148936170213,0.9090909090909091,0.10050251256281406
12,41,78,36,5,42,0,0,0,0,0,0
13,28,59,27,1,32,26,1,1,0.038461538461538464,1.0,0.07407407407407407
14,56,115,46,10,69,88,6,6,0.06818181818181818,1.0,0.1276595744680851
15,92,174,73,19,101,224,9,7,0.03125,0.7777777777777778,0.060085836909871244
16,76,156,57,19,99,70,3,2,0.02857142857142857,0.6666666666666666,0.0547945205479452
17,61,140,53,8,87,52,1,1,0.019230769230769232,1.0,0.03773584905660378
18,86,165,71,15,94,70,1,1,0.014285714285714285,1.0,0.028169014084507043
19,105,156,103,2,53,56,2,1,0.017857142857142856,0.5,0.03448275862068965
20,47,111,42,5,69,36,2,2,0.05555555555555555,1.0,0.10526315789473684
21,40,69,30,10,39,0,0,0,0,0,0
22,27,61,22,5,39,0,0,0,0,0,0
23,66,141,59,7,82,49,1,1,0.02040816326530612,1.0,0.039999999999999994
24,45,92,38,7,54,6,2,0,0.0,0.0,0
25,27,48,24,3,24,0,0,0,0,0,0
26,49,73,42,7,31,0,0,0,0,0,0
27,42,73,33,9,40,0,0,0,0,0,0
28,46,102,43,3,59,0,0,0,0,0,0
29,74,143,69,5,74,0,0,0,0,0,0
30,66,160,58,8,102,57,1,1,0.017543859649122806,1.0,0.034482758620689655
31,87,172,74,13,98,169,9,5,0.029585798816568046,0.5555555555555556,0.05617977528089887
32,69,149,60,9,89,155,6,5,0.03225806451612903,0.8333333333333334,0.062111801242236024
33,40,75,31,9,44,2,1,0,0.0,0.0,0
34,44,88,35,9,53,0,0,0,0,0,0
35,64,113,52,12,61,95,5,4,0.042105263157894736,0.8,0.07999999999999999
36,93,172,77,16,95,0,0,0,0,0,0
37,60,144,55,5,89,54,1,1,0.018518518518518517,1.0,0.03636363636363636
38,110,204,102,8,102,0,0,0,0,0,0
39,38,87,35,3,52,0,0,0,0,0,0
40,32,60,27,5,33,0,0,0,0,0,0
41,29,48,26,3,22,0,0,0,0,0,0
42,44,72,35,9,37,0,0,0,0,0,0
43,35,71,29,6,42,0,0,0,0,0,0
44,85,127,62,23,65,0,0,0,0,0,0
45,77,145,60,17,85,59,4,4,0.06779661016949153,1.0,0.12698412698412698
46,56,127,37,19,90,36,1,1,0.027777777777777776,1.0,0.05405405405405406
47,28,40,22,6,18,0,0,0,0,0,0
48,29,47,22,7,25,0,0,0,0,0,0
49,45,73,40,5,33,39,1,1,0.02564102564102564,1.0,0.05
50,62,95,50,12,45,81,4,3,0.037037037037037035,0.75,0.07058823529411765
51,47,83,39,8,44,0,0,0,0,0,0
52,47,83,35,12,48,34,1,1,0.029411764705882353,1.0,0.05714285714285715
53,39,61,30,9,31,0,0,0,0,0,0
54,30,60,28,2,32,0,0,0,0,0,0
55,40,64,29,11,35,0,0,0,0,0,0
56,46,65,37,9,28,0,0,0,0,0,0
57,16,27,13,3,14,0,0,0,0,0,0
58,0,7,0,0,7,0,0,0,0,0,0
59,0,6,0,0,6,0,0,0,0,0,0
60,0,8,0,0,8,0,0,0,0,0,0
61,0,6,0,0,6,0,0,0,0,0,0
62,0,7,0,0,7,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0
64,0,5,0,0,5,0,0,0,0,0,0
65,0,10,0,0,10,0,0,0,0,0,0
66,0,7,0,0,7,0,0,0,0,0,0
67,0,4,0,0,4,0,0,0,0,0,0
68,0,7,0,0,7,0,0,0,0,0,0
69,0,33,0,0,33,0,0,0,0,0,0
70,68,60,38,30,22,37,15,15,0.40540540540540543,1.0,0.5769230769230769
71,53,61,39,14,22,41,4,3,0.07317073170731707,0.75,0.13333333333333333
72,47,51,25,22,26,24,1,1,0.041666666666666664,1.0,0.07999999999999999
73,36,43,23,13,20,22,3,3,0.13636363636363635,1.0,0.24000000000000002
74,31,38,22,9,16,7,10,2,0.2857142857142857,0.2,0.23529411764705882
75,23,34,21,2,13,20,6,6,0.3,1.0,0.4615384615384615
76,33,49,24,9,25,0,0,0,0,0,0
77,21,28,15,6,13,0,0,0,0,0,0
78,21,23,15,6,8,0,0,0,0,0,0
79,27,32,16,11,16,0,0,0,0,0,0
80,18,24,11,7,13,0,0,0,0,0,0
81,23,31,16,7,15,0,0,0,0,0,0
82,28,35,10,18,25,0,0,0,0,0,0
83,13,20,9,4,11,0,0,0,0,0,0
84,58,62,7,51,55,6,0,0,0.0,0,0
85,15,20,11,4,9,0,0,0,0,0,0
86,12,15,8,4,7,1,2,0,0.0,0.0,0
87,8,10,3,5,7,0,0,0,0,0,0
88,6,8,4,2,4,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
90,8,11,5,3,6,0,0,0,0,0,0
91,14,20,5,9,15,0,0,0,0,0,0
92,33,41,29,4,12,0,0,0,0,0,0
93,27,33,16,11,17,15,0,0,0.0,0,0
94,28,29,16,12,13,0,0,0,0,0,0
95,17,20,10,7,10,0,0,0,0,0,0
96,5,8,2,3,6,0,0,0,0,0,0
97,7,11,5,2,6,4,1,1,0.25,1.0,0.4
98,31,36,20,11,16,0,0,0,0,0,0
99,17,26,13,4,13,0,0,0,0,0,0
100,26,33,17,9,16,16,3,3,0.1875,1.0,0.3157894736842105
101,18,19,8,10,11,7,3,3,0.42857142857142855,1.0,0.6
102,9,12,4,5,8,0,0,0,0,0,0
103,10,14,5,5,9,0,0,0,0,0,0
104,12,19,7,5,12,0,0,0,0,0,0
105,14,21,11,3,10,10,1,1,0.1,1.0,0.18181818181818182
106,29,38,15,14,23,0,0,0,0,0,0
107,14,17,7,7,10,0,0,0,0,0,0
108,16,22,11,5,11,0,0,0,0,0,0
109,6,10,2,4,8,0,0,0,0,0,0
110,9,12,6,3,6,0,0,0,0,0,0
111,4,4,0,4,4,0,0,0,0,0,0
112,10,13,6,4,7,0,0,0,0,0,0
113,8,12,2,6,10,1,0,0,0.0,0,0
114,12,19,10,2,9,0,0,0,0,0,0
115,15,17,4,11,13,3,1,1,0.3333333333333333,1.0,0.5
116,32,35,27,5,8,0,0,0,0,0,0
117,6,8,3,3,5,0,0,0,0,0,0
118,10,11,3,7,8,0,0,0,0,0,0
119,36,41,18,18,23,0,0,0,0,0,0
120,11,16,9,2,7,0,0,0,0,0,0
121,18,21,10,8,11,0,0,0,0,0,0
122,19,21,12,7,9,0,0,0,0,0,0
123,14,16,7,7,9,0,0,0,0,0,0
124,4,6,2,2,4,0,0,0,0,0,0
125,5,6,3,2,3,0,0,0,0,0,0
126,21,26,7,14,19,0,0,0,0,0,0
127,22,26,16,6,10,0,0,0,0,0,0
128,21,29,12,9,17,0,0,0,0,0,0
129,10,14,4,6,10,0,0,0,0,0,0
130,12,16,5,7,11,0,0,0,0,0,0
131,59,65,55,4,10,54,1,1,0.018518518518518517,1.0,0.03636363636363636
132,13,19,9,4,10,0,0,0,0,0,0
133,11,14,5,6,9,0,0,0,0,0,0
134,16,22,11,5,11,10,1,1,0.1,1.0,0.18181818181818182
135,18,23,11,7,12,0,0,0,0,0,0
136,21,25,12,9,13,0,0,0,0,0,0
137,5,8,0,5,8,0,0,0,0,0,0
138,10,14,8,2,6,7,1,1,0.14285714285714285,1.0,0.25
139,4,6,1,3,5,0,0,0,0,0,0
140,12,16,7,5,9,0,0,0,0,0,0
141,9,14,4,5,10,0,0,0,0,0,0
142,14,21,11,3,10,0,0,0,0,0,0
143,6,9,3,3,6,0,0,0,0,0,0
144,8,12,6,2,6,0,0,0,0,0,0
145,0,23,0,0,23,0,0,0,0,0,0
146,14,14,7,7,7,0,0,0,0,0,0
147,38,40,23,15,17,0,0,0,0,0,0
148,13,20,10,3,10,0,0,0,0,0,0
149,18,19,11,7,8,10,2,2,0.2,1.0,0.33333333333333337
150,19,18,5,14,13,4,0,0,0.0,0,0
151,9,12,6,3,6,0,0,0,0,0,0
152,10,12,5,5,7,0,0,0,0,0,0
153,5,8,0,5,8,0,0,0,0,0,0
154,14,16,10,4,6,0,0,0,0,0,0
155,24,27,15,9,12,0,0,0,0,0,0
156,10,11,5,5,6,4,0,0,0.0,0,0
157,0,26,0,0,26,0,0,0,0,0,0
158,16,19,11,5,8,0,0,0,0,0,0
159,10,14,6,4,8,0,0,0,0,0,0
160,6,9,3,3,6,0,0,0,0,0,0
161,17,18,11,6,7,0,0,0,0,0,0
162,10,16,9,1,7,2,1,0,0.0,0.0,0
163,10,17,7,3,10,0,0,0,0,0,0
164,14,16,11,3,5,2,3,0,0.0,0.0,0
165,9,13,5,4,8,4,0,0,0.0,0,0
166,4,4,1,3,3,0,0,0,0,0,0
167,7,9,4,3,5,0,0,0,0,0,0
168,10,12,6,4,6,5,1,1,0.2,1.0,0.33333333333333337
169,6,8,3,3,5,2,1,1,0.5,1.0,0.6666666666666666
170,9,10,5,4,5,0,0,0,0,0,0
171,10,12,3,7,9,2,0,0,0.0,0,0
172,0,0,0,0,0,0,0,0,0,0,0
173,7,10,3,4,7,0,0,0,0,0,0
174,13,14,10,3,4,9,1,1,0.1111111111111111,1.0,0.19999999999999998
175,0,17,0,0,17,0,0,0,0,0,0
176,7,7,2,5,5,0,0,0,0,0,0
